Hit,DB,Protein1,Protein2,Organism,Length,Score,Identities,Positives,E
6,swissprot,A0T0I0,P51312,Porphyra purpurea,110,289.0,46.36,65.45,5.84551e-34
7,swissprot,A0T0I0,B7K333,Rippkaea orientalis PCC 8801,100,284.0,55.00,71.00,2.77529e-33
8,swissprot,A0T0I0,Q9MUT8,Mesostigma viride,92,283.0,56.52,76.09,3.29861e-33
9,swissprot,A0T0I0,Q110A9,Trichodesmium erythraeum IMS101,101,277.0,55.45,70.30,3.00831e-32
10,swissprot,A0T0I0,Q7NPG8,Gloeobacter violaceus PCC 7421,100,271.0,55.00,69.00,2.91174e-31
11,swissprot,A0T0I0,O24691,Synechococcus elongatus PCC 6301,100,266.0,50.00,69.00,1.31874e-30
12,swissprot,A0T0I0,B1WQR2,Crocosphaera subtropica ATCC 51142,100,265.0,52.00,68.00,2.02085e-30
13,swissprot,A0T0I0,Q4G363,Emiliania huxleyi,99,262.0,48.48,73.74,4.81736e-30
14,swissprot,A0T0I0,A5GVW2,Synechococcus sp. RCC307,100,261.0,49.00,70.00,6.88419e-30
15,swissprot,A0T0I0,A2BYT4,Prochlorococcus marinus str. MIT 9515,100,259.0,53.00,67.00,1.38677e-29
16,swissprot,A0T0I0,P73318,Synechocystis sp. PCC 6803 substr. Kazusa,101,258.0,49.50,67.33,2.33493e-29
17,swissprot,A0T0I0,Q7UZU9,Prochlorococcus marinus subsp. pastoris str. CCMP1986,100,256.0,53.00,67.00,5.50482e-29
18,swissprot,A0T0I0,Q8YPI1,Nostoc sp. PCC 7120 = FACHB-418,104,255.0,43.27,66.35,8.85297e-29
19,swissprot,A0T0I0,Q0ID07,Synechococcus sp. CC9311,100,253.0,47.00,68.00,1.32083e-28
20,swissprot,A0T0I0,A8G760,Prochlorococcus marinus str. MIT 9215,100,253.0,51.00,67.00,1.53944e-28
1,swissprot,A0T0I1,A0T0I1,Phaeodactylum tricornutum CCAP 1055/1,275,1423.0,100.00,100.00,0.0
2,swissprot,A0T0I1,P49545,Trieres chinensis,275,1263.0,85.82,93.45,7.81386e-177
3,swissprot,A0T0I1,A0T0X5,Thalassiosira pseudonana,275,1250.0,84.36,92.00,6.13956e-175
4,swissprot,A0T0I1,A6MW04,Rhodomonas salina,275,1030.0,66.91,84.36,2.53092e-141
5,swissprot,A0T0I1,Q6B8V6,Gracilaria tenuistipitata var. liui,275,1019.0,67.64,83.27,1.04794e-139
6,swissprot,A0T0I1,O46897,Guillardia theta,275,1013.0,65.82,82.55,9.57195e-139
7,swissprot,A0T0I1,Q1XDH7,Neopyropia yezoensis,293,1012.0,61.77,77.82,2.27341e-138
8,swissprot,A0T0I1,P51311,Porphyra purpurea,294,991.0,60.88,77.89,3.52729e-135
9,swissprot,A0T0I1,A2C4Z6,Prochlorococcus marinus str. NATL1A,287,989.0,59.93,77.70,5.68246e-135
10,swissprot,A0T0I1,A5GVW3,Synechococcus sp. RCC307,287,984.0,59.93,77.70,2.99985e-134
11,swissprot,A0T0I1,Q0ID08,Synechococcus sp. CC9311,287,983.0,60.28,77.00,5.47704e-134
12,swissprot,A0T0I1,A5GIU2,Synechococcus sp. WH 7803,287,978.0,59.93,77.35,2.4534e-133
13,swissprot,A0T0I1,B7KHZ0,Gloeothece citriformis PCC 7424,277,971.0,64.62,79.06,2.66573e-132
14,swissprot,A0T0I1,Q3AUW0,Synechococcus sp. CC9902,287,970.0,59.93,76.31,3.99791e-132
15,swissprot,A0T0I1,B7K332,Rippkaea orientalis PCC 8801,276,969.0,64.49,79.35,4.49794e-132
16,swissprot,A0T0I1,Q7V9W5,Prochlorococcus marinus subsp. marinus str. CCMP1375,287,965.0,59.58,76.31,2.35399e-131
17,swissprot,A0T0I1,Q20F12,Oltmannsiellopsis viridis,275,964.0,65.45,77.09,2.36925e-131
18,swissprot,A0T0I1,P73317,Synechocystis sp. PCC 6803 substr. Kazusa,276,963.0,64.49,79.35,3.22621e-131
19,swissprot,A0T0I1,Q7U4J7,Parasynechococcus marenigrum WH 8102,287,964.0,59.23,76.31,3.30477e-131
20,swissprot,A0T0I1,Q3AMN3,Synechococcus sp. CC9605,287,964.0,58.89,76.31,4.11336e-131
1,swissprot,A0T0I2,A0T0I2,Phaeodactylum tricornutum CCAP 1055/1,92,483.0,100.00,100.00,6.92867e-64
2,swissprot,A0T0I2,A0T0X6,Thalassiosira pseudonana,92,430.0,86.96,93.48,8.47678e-56
3,swissprot,A0T0I2,P49506,Trieres chinensis,92,417.0,82.61,93.48,6.47915e-54
4,swissprot,A0T0I2,Q4G361,Emiliania huxleyi,92,365.0,70.65,85.87,5.85104e-46
5,swissprot,A0T0I2,Q6B8V7,Gracilaria tenuistipitata var. liui,92,362.0,71.74,83.70,1.67779e-45
6,swissprot,A0T0I2,B7KHZ1,Gloeothece citriformis PCC 7424,92,345.0,67.39,81.52,8.26168e-43
7,swissprot,A0T0I2,Q9TL19,Nephroselmis olivacea,92,344.0,67.39,83.70,1.0517e-42
8,swissprot,A0T0I2,Q4VZM8,Cucumis sativus,92,341.0,64.13,84.78,3.01506e-42
9,swissprot,A0T0I2,P51310,Porphyra purpurea,92,340.0,65.22,79.35,3.71383e-42
10,swissprot,A0T0I2,Q1XDH8,Neopyropia yezoensis,92,340.0,64.13,80.43,4.05451e-42
11,swissprot,A0T0I2,P56366,Chlorella vulgaris,92,340.0,65.22,82.61,4.7276e-42
12,swissprot,A0T0I2,P15761,Cyanophora paradoxa,92,339.0,63.04,82.61,5.21821e-42
13,swissprot,A0T0I2,Q8DMM7,Thermosynechococcus vestitus BP-1,92,339.0,64.13,81.52,6.78997e-42
14,swissprot,A0T0I2,Q19VA9,Chlorokybus atmophyticus,92,336.0,66.30,81.52,1.92521e-41
15,swissprot,A0T0I2,A6MW05,Rhodomonas salina,92,334.0,63.04,80.43,2.92091e-41
16,swissprot,A0T0I2,A7Y3J1,Ipomoea purpurea,93,334.0,63.44,83.87,3.39494e-41
17,swissprot,A0T0I2,O46898,Guillardia theta,92,334.0,66.30,80.43,3.71818e-41
18,swissprot,A0T0I2,B1NWJ0,Manihot esculenta,92,333.0,64.13,83.70,4.43156e-41
19,swissprot,A0T0I2,B0JHZ9,Microcystis aeruginosa NIES-843,93,333.0,62.37,78.49,5.09446e-41
20,swissprot,A0T0I2,B1WQR4,Crocosphaera subtropica ATCC 51142,92,331.0,66.30,79.35,9.2416e-41
1,swissprot,A0T0I4,A0T0I4,Phaeodactylum tricornutum CCAP 1055/1,115,608.0,100.00,100.00,3.1039e-82
2,swissprot,A0T0I4,P49558,Trieres chinensis,115,544.0,85.22,94.78,1.3996e-72
3,swissprot,A0T0I4,A0T0X8,Thalassiosira pseudonana,115,528.0,83.48,93.04,3.85883e-70
4,swissprot,A0T0I4,B7K330,Rippkaea orientalis PCC 8801,120,412.0,60.83,75.83,2.23197e-52
5,swissprot,A0T0I4,B2ITQ0,Nostoc punctiforme PCC 73102,118,407.0,61.02,80.51,1.42749e-51
6,swissprot,A0T0I4,B0JHZ8,Microcystis aeruginosa NIES-843,119,399.0,60.50,73.95,2.71882e-50
7,swissprot,A0T0I4,Q3MFB6,Trichormus variabilis ATCC 29413,119,398.0,57.98,78.99,2.96797e-50
8,swissprot,A0T0I4,P73315,Synechocystis sp. PCC 6803 substr. Kazusa,121,394.0,57.02,72.73,1.22953e-49
9,swissprot,A0T0I4,B1XJT4,Synechococcus sp. PCC 7002,119,393.0,61.34,74.79,1.91253e-49
10,swissprot,A0T0I4,Q1XDH9,Neopyropia yezoensis,117,391.0,59.83,72.65,3.17745e-49
11,swissprot,A0T0I4,A6MW06,Rhodomonas salina,118,390.0,59.32,73.73,5.30891e-49
12,swissprot,A0T0I4,P51309,Porphyra purpurea,116,390.0,61.21,74.14,5.75291e-49
13,swissprot,A0T0I4,Q8DMM6,Thermosynechococcus vestitus BP-1,122,388.0,58.20,73.77,1.22562e-48
14,swissprot,A0T0I4,B1WQR5,Crocosphaera subtropica ATCC 51142,120,386.0,56.67,72.50,2.22273e-48
15,swissprot,A0T0I4,Q32RV5,Staurastrum punctulatum,132,386.0,54.55,63.64,2.89249e-48
16,swissprot,A0T0I4,Q2JV86,Synechococcus sp. JA-3-3Ab,123,384.0,54.47,73.98,5.6102e-48
17,swissprot,A0T0I4,Q2JIM2,Synechococcus sp. JA-2-3B'a(2-13),124,383.0,54.84,73.39,7.77893e-48
18,swissprot,A0T0I4,O24694,Synechococcus elongatus PCC 6301,117,381.0,57.26,74.36,1.13143e-47
19,swissprot,A0T0I4,B0C1D8,Acaryochloris marina MBIC11017,120,380.0,56.67,72.50,2.17101e-47
20,swissprot,A0T0I4,Q110B2,Trichodesmium erythraeum IMS101,119,379.0,60.50,76.47,2.32296e-47
1,swissprot,A0T0I5,A0T0I5,Phaeodactylum tricornutum CCAP 1055/1,214,1110.0,100.00,100.00,1.31687e-155
2,swissprot,A0T0I5,P49491,Trieres chinensis,214,918.0,78.04,93.46,2.49232e-126
3,swissprot,A0T0I5,A0T0X9,Thalassiosira pseudonana,214,872.0,74.30,89.25,2.80145e-119
4,swissprot,A0T0I5,Q1XDI0,Neopyropia yezoensis,230,697.0,54.35,73.48,2.11005e-92
5,swissprot,A0T0I5,P51308,Porphyra purpurea,230,696.0,53.91,73.48,3.1627e-92
6,swissprot,A0T0I5,A5GIT9,Synechococcus sp. WH 7803,243,682.0,53.09,67.90,6.55429e-90
7,swissprot,A0T0I5,A6MW07,Rhodomonas salina,218,672.0,56.88,74.31,9.50345e-89
8,swissprot,A0T0I5,Q0ID11,Synechococcus sp. CC9311,243,674.0,52.26,68.72,1.01879e-88
9,swissprot,A0T0I5,A2C4Z3,Prochlorococcus marinus str. NATL1A,244,667.0,52.87,67.21,1.2451e-87
10,swissprot,A0T0I5,Q3AMN6,Synechococcus sp. CC9605,242,666.0,52.48,69.42,1.35797e-87
11,swissprot,A0T0I5,Q7UZV2,Prochlorococcus marinus subsp. pastoris str. CCMP1986,243,666.0,51.85,67.49,1.41913e-87
12,swissprot,A0T0I5,A2BTD1,Prochlorococcus marinus str. AS9601,243,666.0,53.09,67.08,1.67192e-87
13,swissprot,A0T0I5,Q46IR5,Prochlorococcus marinus str. NATL2A,244,666.0,52.87,67.21,1.8453e-87
14,swissprot,A0T0I5,A8G756,Prochlorococcus marinus str. MIT 9215,243,664.0,53.09,67.08,2.98377e-87
15,swissprot,A0T0I5,Q318J0,Prochlorococcus marinus str. MIT 9312,243,664.0,53.09,67.08,3.08322e-87
16,swissprot,A0T0I5,Q3AUX0,Synechococcus sp. CC9902,242,663.0,52.07,68.18,3.87739e-87
17,swissprot,A0T0I5,Q7V537,Prochlorococcus marinus str. MIT 9313,242,661.0,52.07,66.94,9.70987e-87
18,swissprot,A0T0I5,A9BCP1,Prochlorococcus marinus str. MIT 9211,243,660.0,51.44,67.49,1.39298e-86
19,swissprot,A0T0I5,Q7U4J4,Parasynechococcus marenigrum WH 8102,242,659.0,52.07,68.18,2.01925e-86
20,swissprot,A0T0I5,Q7V9W8,Prochlorococcus marinus subsp. marinus str. CCMP1375,243,658.0,51.85,67.49,2.48581e-86
1,swissprot,A0T0I6,A0T0I6,Phaeodactylum tricornutum CCAP 1055/1,138,719.0,100.00,100.00,1.61897e-98
2,swissprot,A0T0I6,P49553,Trieres chinensis,137,638.0,88.32,93.43,4.03628e-86
3,swissprot,A0T0I6,A0T0Y0,Thalassiosira pseudonana,137,631.0,85.40,91.97,5.37757e-85
4,swissprot,A0T0I6,P51307,Porphyra purpurea,139,532.0,67.63,84.17,6.55734e-70
5,swissprot,A0T0I6,Q32RV3,Staurastrum punctulatum,141,531.0,66.67,84.40,1.02768e-69
6,swissprot,A0T0I6,Q1ACG0,Chara vulgaris,144,530.0,64.58,80.56,1.30762e-69
7,swissprot,A0T0I6,Q1XDI1,Neopyropia yezoensis,139,528.0,66.91,83.45,2.75717e-69
8,swissprot,A0T0I6,Q110B4,Trichodesmium erythraeum IMS101,137,524.0,69.34,83.94,1.02791e-68
9,swissprot,A0T0I6,A6YGC7,Pleurastrum terricola,139,523.0,68.35,81.29,1.25171e-68
10,swissprot,A0T0I6,Q6YXK9,Physcomitrium patens,138,521.0,67.39,80.43,3.28514e-68
11,swissprot,A0T0I6,Q0P3L6,Ostreococcus tauri,141,519.0,63.83,80.85,5.99981e-68
12,swissprot,A0T0I6,Q5SD18,Huperzia lucidula,142,519.0,64.08,78.87,6.91734e-68
13,swissprot,A0T0I6,Q8M9V1,Chaetosphaeridium globosum,138,518.0,65.94,84.06,7.23343e-68
14,swissprot,A0T0I6,B0C1E0,Acaryochloris marina MBIC11017,139,517.0,66.19,81.29,1.04982e-67
15,swissprot,A0T0I6,A2T371,Angiopteris evecta,146,516.0,62.33,76.03,2.18473e-67
16,swissprot,A0T0I6,Q9MUU3,Mesostigma viride,136,514.0,63.97,86.03,2.63846e-67
17,swissprot,A0T0I6,B8HMR1,Cyanothece sp. PCC 7425,140,514.0,65.71,81.43,3.8683e-67
18,swissprot,A0T0I6,P23406,Cyanophora paradoxa,136,512.0,68.38,80.15,7.31331e-67
19,swissprot,A0T0I6,P16633,Gracilaria tenuistipitata,135,507.0,67.41,80.74,3.43181e-66
20,swissprot,A0T0I6,A4QJW8,Olimarabidopsis pumila,135,506.0,65.93,82.96,4.56353e-66
1,swissprot,A0T0I7,A0T0I7,Phaeodactylum tricornutum CCAP 1055/1,81,401.0,100.00,100.00,1.00237e-51
2,swissprot,A0T0I7,P49562,Trieres chinensis,89,226.0,52.81,66.29,5.30068e-25
3,swissprot,A0T0I7,B1WQR8,Crocosphaera subtropica ATCC 51142,78,138.0,37.18,58.97,1.09777e-11
4,swissprot,A0T0I7,P51306,Porphyra purpurea,67,136.0,40.30,58.21,1.45256e-11
5,swissprot,A0T0I7,Q7NEG0,Gloeobacter violaceus PCC 7421,70,130.0,41.43,55.71,1.13816e-10
6,swissprot,A0T0I7,Q6B8W1,Gracilaria tenuistipitata var. liui,66,129.0,37.88,60.61,1.8865e-10
7,swissprot,A0T0I7,B2ITP7,Nostoc punctiforme PCC 73102,75,128.0,36.00,49.33,2.60419e-10
8,swissprot,A0T0I7,O24697,Synechococcus elongatus PCC 6301,64,126.0,39.06,62.50,4.0365e-10
9,swissprot,A0T0I7,B8HMR2,Cyanothece sp. PCC 7425,74,125.0,32.43,50.00,7.90026e-10
10,swissprot,A0T0I7,P73312,Synechocystis sp. PCC 6803 substr. Kazusa,73,124.0,38.36,57.53,1.02442e-09
11,swissprot,A0T0I7,Q8DMM4,Thermosynechococcus vestitus BP-1,70,123.0,37.14,52.86,1.3533e-09
12,swissprot,A0T0I7,B7KHZ5,Gloeothece citriformis PCC 7424,76,123.0,32.89,50.00,2.02239e-09
13,swissprot,A0T0I7,Q1XDI2,Neopyropia yezoensis,68,121.0,32.35,60.29,2.83125e-09
14,swissprot,A0T0I7,Q3MFB3,Trichormus variabilis ATCC 29413,74,117.0,33.78,47.30,1.15093e-08
15,swissprot,A0T0I7,A9BCN9,Prochlorococcus marinus str. MIT 9211,70,114.0,34.29,57.14,4.18338e-08
16,swissprot,A0T0I7,B1XJT1,Synechococcus sp. PCC 7002,68,111.0,32.35,54.41,8.56329e-08
17,swissprot,A0T0I7,B7K240,Rippkaea orientalis PCC 8801,78,111.0,30.77,46.15,1.3044e-07
18,swissprot,A0T0I7,Q3AMN8,Synechococcus sp. CC9605,69,108.0,36.23,56.52,3.19603e-07
19,swissprot,A0T0I7,A5GVW8,Synechococcus sp. RCC307,71,106.0,33.80,52.11,4.94224e-07
20,swissprot,A0T0I7,B0C1E1,Acaryochloris marina MBIC11017,64,106.0,32.81,57.81,5.31266e-07
1,swissprot,A0T0I8,A0T0I8,Phaeodactylum tricornutum CCAP 1055/1,84,431.0,100.00,100.00,2.51956e-56
2,swissprot,A0T0I8,P49504,Trieres chinensis,84,373.0,78.57,95.24,1.88866e-47
3,swissprot,A0T0I8,A0T0Y2,Thalassiosira pseudonana,84,367.0,75.00,95.24,1.77347e-46
4,swissprot,A0T0I8,P73311,Synechocystis sp. PCC 6803 substr. Kazusa,81,263.0,56.79,79.01,1.15393e-30
5,swissprot,A0T0I8,Q3MFB2,Trichormus variabilis ATCC 29413,81,259.0,53.09,79.01,4.64559e-30
6,swissprot,A0T0I8,Q0ID14,Synechococcus sp. CC9311,88,258.0,46.59,70.45,8.67978e-30
7,swissprot,A0T0I8,Q8DMM3,Thermosynechococcus vestitus BP-1,82,256.0,52.44,74.39,1.59612e-29
8,swissprot,A0T0I8,Q7U4J1,Parasynechococcus marenigrum WH 8102,103,256.0,38.83,60.19,2.37885e-29
9,swissprot,A0T0I8,Q3AMN9,Synechococcus sp. CC9605,98,254.0,41.84,64.29,3.76726e-29
10,swissprot,A0T0I8,Q3AW84,Synechococcus sp. CC9902,95,254.0,42.11,65.26,3.90178e-29
11,swissprot,A0T0I8,Q1XDI3,Neopyropia yezoensis,83,251.0,56.63,72.29,9.48621e-29
12,swissprot,A0T0I8,Q110B6,Trichodesmium erythraeum IMS101,83,251.0,56.63,75.90,9.59078e-29
13,swissprot,A0T0I8,A5GVW9,Synechococcus sp. RCC307,83,250.0,48.19,73.49,1.0702e-28
14,swissprot,A0T0I8,Q7TUP4,Prochlorococcus marinus str. MIT 9313,88,248.0,45.45,68.18,3.05878e-28
15,swissprot,A0T0I8,A5GIT6,Synechococcus sp. WH 7803,88,247.0,45.45,68.18,3.97902e-28
16,swissprot,A0T0I8,C5CGQ5,Kosmotoga olearia TBF 19.5.1,101,248.0,43.56,60.40,4.3695e-28
17,swissprot,A0T0I8,A2CC36,Prochlorococcus marinus str. MIT 9303,88,246.0,45.45,68.18,5.23313e-28
18,swissprot,A0T0I8,Q2JV90,Synechococcus sp. JA-3-3Ab,83,245.0,50.60,69.88,7.36858e-28
19,swissprot,A0T0I8,P51305,Porphyra purpurea,83,244.0,54.22,71.08,8.49711e-28
20,swissprot,A0T0I8,Q2JIL8,Synechococcus sp. JA-2-3B'a(2-13),83,244.0,53.01,69.88,1.03505e-27
1,swissprot,A0T0I9,A0T0I9,Phaeodactylum tricornutum CCAP 1055/1,121,617.0,100.00,100.00,1.76111e-83
2,swissprot,A0T0I9,P49552,Trieres chinensis,121,577.0,89.26,97.52,2.37762e-77
3,swissprot,A0T0I9,A0T0Y3,Thalassiosira pseudonana,121,574.0,88.43,96.69,7.77899e-77
4,swissprot,A0T0I9,A6MW11,Rhodomonas salina,121,515.0,79.34,91.74,6.20986e-68
5,swissprot,A0T0I9,O46904,Guillardia theta,121,511.0,78.51,91.74,2.36791e-67
6,swissprot,A0T0I9,Q9TL22,Nephroselmis olivacea,121,491.0,76.03,88.43,3.64403e-64
7,swissprot,A0T0I9,O24699,Synechococcus elongatus PCC 6301,121,486.0,76.03,89.26,1.55019e-63
8,swissprot,A0T0I9,Q110B7,Trichodesmium erythraeum IMS101,122,482.0,76.23,88.52,6.30635e-63
9,swissprot,A0T0I9,Q8DMM2,Thermosynechococcus vestitus BP-1,122,477.0,73.77,87.70,3.76855e-62
10,swissprot,A0T0I9,Q2JIL7,Synechococcus sp. JA-2-3B'a(2-13),122,476.0,74.59,89.34,5.29454e-62
11,swissprot,A0T0I9,Q2JV91,Synechococcus sp. JA-3-3Ab,122,475.0,73.77,89.34,8.57827e-62
12,swissprot,A0T0I9,B8HMR4,Cyanothece sp. PCC 7425,122,474.0,72.13,88.52,1.16617e-61
13,swissprot,A0T0I9,Q4G356,Emiliania huxleyi,121,474.0,71.90,86.78,1.42187e-61
14,swissprot,A0T0I9,P73310,Synechocystis sp. PCC 6803 substr. Kazusa,122,473.0,74.59,86.89,1.60282e-61
15,swissprot,A0T0I9,Q1KVR1,Tetradesmus obliquus,121,471.0,70.25,89.26,3.45667e-61
16,swissprot,A0T0I9,B7K238,Rippkaea orientalis PCC 8801,122,471.0,72.95,88.52,3.53027e-61
17,swissprot,A0T0I9,Q3MFB1,Trichormus variabilis ATCC 29413,122,471.0,75.41,85.25,3.53027e-61
18,swissprot,A0T0I9,B2ITP5,Nostoc punctiforme PCC 73102,122,470.0,74.59,86.89,4.54309e-61
19,swissprot,A0T0I9,P11094,Chlamydomonas reinhardtii,122,469.0,72.95,89.34,6.17599e-61
20,swissprot,A0T0I9,Q6B8W3,Gracilaria tenuistipitata var. liui,122,469.0,70.49,87.70,6.81665e-61
1,swissprot,A0T0J0,A0T0J0,Phaeodactylum tricornutum CCAP 1055/1,82,403.0,100.00,100.00,5.10232e-52
2,swissprot,A0T0J0,P49560,Trieres chinensis,77,285.0,71.43,88.31,4.74807e-34
3,swissprot,A0T0J0,A0T0Y4,Thalassiosira pseudonana,77,281.0,70.13,87.01,1.51936e-33
4,swissprot,A0T0J0,B1WQS1,Crocosphaera subtropica ATCC 51142,115,200.0,34.78,45.22,1.05364e-20
5,swissprot,A0T0J0,O46905,Guillardia theta,101,196.0,39.60,50.50,3.03962e-20
6,swissprot,A0T0J0,B1XJS8,Synechococcus sp. PCC 7002,116,192.0,32.76,44.83,1.80211e-19
7,swissprot,A0T0J0,Q1XDI5,Neopyropia yezoensis,116,187.0,35.34,42.24,1.13644e-18
8,swissprot,A0T0J0,B0JHZ2,Microcystis aeruginosa NIES-843,117,181.0,30.77,44.44,8.73938e-18
9,swissprot,A0T0J0,P73309,Synechocystis sp. PCC 6803 substr. Kazusa,115,179.0,30.43,44.35,1.49601e-17
10,swissprot,A0T0J0,Q9TLU3,Cyanidium caldarium,94,177.0,38.30,56.38,1.87461e-17
11,swissprot,A0T0J0,B2XTE4,Heterosigma akashiwo NIES-293,86,176.0,43.02,58.14,2.09044e-17
12,swissprot,A0T0J0,P11893,Pisum sativum,194,181.0,20.10,26.29,4.10193e-17
13,swissprot,A0T0J0,Q02764,Nicotiana tabacum,187,180.0,19.79,29.95,6.12681e-17
14,swissprot,A0T0J0,Q3MFB0,Trichormus variabilis ATCC 29413,117,172.0,33.33,42.74,2.02765e-16
15,swissprot,A0T0J0,Q110B8,Trichodesmium erythraeum IMS101,122,171.0,31.97,40.98,3.24283e-16
16,swissprot,A0T0J0,O24700,Synechococcus elongatus PCC 6301,113,170.0,31.86,44.25,3.52872e-16
17,swissprot,A0T0J0,A8G750,Prochlorococcus marinus str. MIT 9215,118,168.0,33.05,39.83,7.41163e-16
18,swissprot,A0T0J0,Q8DMM1,Thermosynechococcus vestitus BP-1,117,168.0,29.91,41.88,8.51466e-16
19,swissprot,A0T0J0,A5GIT4,Synechococcus sp. WH 7803,118,167.0,29.66,41.53,9.83108e-16
20,swissprot,A0T0J0,A3PF36,Prochlorococcus marinus str. MIT 9301,118,167.0,32.20,39.83,1.24854e-15
1,swissprot,A0T0J1,A0T0J1,Phaeodactylum tricornutum CCAP 1055/1,238,1245.0,100.00,100.00,2.50997e-175
2,swissprot,A0T0J1,P49547,Trieres chinensis,238,1006.0,75.21,90.76,6.73069e-139
3,swissprot,A0T0J1,A0T0Y5,Thalassiosira pseudonana,238,990.0,74.37,89.50,1.76336e-136
4,swissprot,A0T0J1,B0C1E5,Acaryochloris marina MBIC11017,181,460.0,45.86,61.33,7.81503e-57
5,swissprot,A0T0J1,B7K236,Rippkaea orientalis PCC 8801,180,460.0,47.78,63.89,8.26082e-57
6,swissprot,A0T0J1,P14807,Cyanophora paradoxa,181,451.0,46.96,65.19,1.69853e-55
7,swissprot,A0T0J1,B1XJS7,Synechococcus sp. PCC 7002,181,451.0,46.41,59.67,2.30325e-55
8,swissprot,A0T0J1,A5GVX2,Synechococcus sp. RCC307,179,450.0,46.37,64.80,2.43786e-55
9,swissprot,A0T0J1,Q8DMM0,Thermosynechococcus vestitus BP-1,181,448.0,45.86,62.98,6.06354e-55
10,swissprot,A0T0J1,Q3MFA9,Trichormus variabilis ATCC 29413,182,446.0,46.15,59.34,1.10134e-54
11,swissprot,A0T0J1,Q8YPJ1,Nostoc sp. PCC 7120 = FACHB-418,182,446.0,46.15,59.34,1.11338e-54
12,swissprot,A0T0J1,P73308,Synechocystis sp. PCC 6803 substr. Kazusa,180,443.0,45.56,59.44,2.6934e-54
13,swissprot,A0T0J1,Q7V9X4,Prochlorococcus marinus subsp. marinus str. CCMP1375,179,443.0,47.49,63.13,2.78635e-54
14,swissprot,A0T0J1,B2ITP3,Nostoc punctiforme PCC 73102,182,442.0,46.70,61.54,5.15752e-54
15,swissprot,A0T0J1,Q1XDI6,Neopyropia yezoensis,181,441.0,44.75,59.12,5.57301e-54
16,swissprot,A0T0J1,Q20F07,Oltmannsiellopsis viridis,180,441.0,45.00,62.22,6.28956e-54
17,swissprot,A0T0J1,Q7V533,Prochlorococcus marinus str. MIT 9313,179,440.0,47.49,62.57,7.3335e-54
18,swissprot,A0T0J1,A5GIT3,Synechococcus sp. WH 7803,179,440.0,45.81,63.13,9.01625e-54
19,swissprot,A0T0J1,A2CC40,Prochlorococcus marinus str. MIT 9303,179,440.0,46.93,62.57,9.62401e-54
20,swissprot,A0T0J1,O24701,Synechococcus elongatus PCC 6301,179,439.0,49.16,63.13,1.01617e-53
1,swissprot,A0T0J2,A0T0J2,Phaeodactylum tricornutum CCAP 1055/1,132,683.0,100.00,100.00,3.81605e-93
2,swissprot,A0T0J2,P49496,Trieres chinensis,132,571.0,82.58,90.15,4.80506e-76
3,swissprot,A0T0J2,A0T0Y6,Thalassiosira pseudonana,132,531.0,76.52,87.88,6.49409e-70
4,swissprot,A0T0J2,Q8DML9,Thermosynechococcus vestitus BP-1,133,470.0,60.90,81.95,1.18372e-60
5,swissprot,A0T0J2,Q1XDI7,Neopyropia yezoensis,133,468.0,61.65,83.46,1.91723e-60
6,swissprot,A0T0J2,P51301,Porphyra purpurea,133,462.0,60.90,83.46,1.91495e-59
7,swissprot,A0T0J2,A6MW14,Rhodomonas salina,132,461.0,62.12,83.33,2.16204e-59
8,swissprot,A0T0J2,Q6B8W6,Gracilaria tenuistipitata var. liui,132,458.0,62.88,82.58,7.06092e-59
9,swissprot,A0T0J2,O46907,Guillardia theta,132,450.0,60.61,81.06,1.30233e-57
10,swissprot,A0T0J2,Q110C0,Trichodesmium erythraeum IMS101,133,448.0,61.65,79.70,2.95929e-57
11,swissprot,A0T0J2,B0JHZ0,Microcystis aeruginosa NIES-843,133,444.0,60.90,76.69,9.14699e-57
12,swissprot,A0T0J2,B7KI00,Gloeothece citriformis PCC 7424,133,443.0,59.40,77.44,1.51407e-56
13,swissprot,A0T0J2,B1XJS6,Synechococcus sp. PCC 7002,133,441.0,60.90,79.70,2.53377e-56
14,swissprot,A0T0J2,B8HMR7,Cyanothece sp. PCC 7425,133,437.0,57.14,76.69,1.07592e-55
15,swissprot,A0T0J2,O24702,Synechococcus elongatus PCC 6301,133,437.0,57.14,78.95,1.24059e-55
16,swissprot,A0T0J2,B0C1E6,Acaryochloris marina MBIC11017,133,436.0,55.64,76.69,1.47825e-55
17,swissprot,A0T0J2,P73307,Synechocystis sp. PCC 6803 substr. Kazusa,133,433.0,58.65,76.69,4.18502e-55
18,swissprot,A0T0J2,Q8YPJ2,Nostoc sp. PCC 7120 = FACHB-418,133,433.0,57.14,78.20,4.6695e-55
19,swissprot,A0T0J2,Q3MFA8,Trichormus variabilis ATCC 29413,133,432.0,57.14,78.20,7.23697e-55
20,swissprot,A0T0J2,Q7NEG6,Gloeobacter violaceus PCC 7421,133,430.0,54.89,81.20,1.21098e-54
1,swissprot,A0T0J3,A0T0J3,Phaeodactylum tricornutum CCAP 1055/1,178,917.0,100.00,100.00,2.0247e-127
2,swissprot,A0T0J3,P49548,Trieres chinensis,179,652.0,71.51,79.33,5.70544e-87
3,swissprot,A0T0J3,A0T0Y7,Thalassiosira pseudonana,187,595.0,63.10,74.87,3.68843e-78
4,swissprot,A0T0J3,B7KI01,Gloeothece citriformis PCC 7424,179,475.0,51.96,69.27,4.55467e-60
